feature,importance,coefficient
attic_level_bedroom_cnt,4.371636337633728e+17,4.371636337633728e+17
sloped_roof_bedroom_cnt,4.3716363376334336e+17,-4.3716363376334336e+17
sloped_roof_bedroom_images_cnt,4.694658715878934e+16,4.694658715878934e+16
locality_id,2860093872.01057,2860093872.01057
street_id,2859774317.2392,-2859774317.2392
balcony_verandah_area,589041659.8003014,-589041659.8003014
verandah_area,573784878.0082307,573784878.0082307
balcony_area,116255965.00999475,116255965.00999475
internal_area,55356818.07146013,-55356818.07146013
living_space_area,35238621.57648271,35238621.57648271
mainbuilding_bedrooms_area,18629249.73555319,18629249.73555319
other_area,14210407.650732458,14210407.650732458
land_value,742593.3833878151,742593.3833878151
building_age,711623.0897234678,-711623.0897234678
building_year_mix,684326.7821091413,684326.7821091413
sector_median,480897.8326829773,480897.8326829773
locality_name,360629.7331758598,-360629.7331758598
bedroom_cnt,357516.44297760725,-357516.44297760725
storage_area,168929.16523963213,-168929.16523963213
luxury_level_desc_score,153498.29804830352,153498.29804830352
region,125391.31516282578,-125391.31516282578
luxury_level_score,124136.58752661943,-124136.58752661943
biggest_bedroom_area,115538.83411383629,-115538.83411383629
prop_bath,113266.48154149088,113266.48154149088
bedroom_without_bathroom_cnt,112781.34275245667,112781.34275245667
view_quality,111455.08431172546,-111455.08431172546
bedroom_without_bathroom_names,104368.61981010437,-104368.61981010437
famous_designer,96558.60739260912,96558.60739260912
big_sector_code,95708.4583852079,-95708.4583852079
small_bedroom_cnt,90388.65274089575,90388.65274089575
unreliable_features,87638.74156868458,87638.74156868458
internal_workshop_area,78800.2164849788,-78800.2164849788
main_building_bedroom_avg_area,74276.50224006176,-74276.50224006176
bath_plus_area,65419.97920703888,-65419.97920703888
outdoor_swimming_pool_cnt,65364.01195013523,65364.01195013523
luxury_level,63848.22142124176,-63848.22142124176
garage_area,62118.86496028304,62118.86496028304
sold_contract_date,53079.00558337898,53079.00558337898
house_name,52589.48695906601,52589.48695906601
tennis_court_cnt,50847.89571803063,50847.89571803063
luxury_level_images_score,50033.750811457634,50033.750811457634
gym_name,48071.695357620716,-48071.695357620716
robe_cnt,46078.25537598133,-46078.25537598133
indoor_swimming_pool_cnt,44640.68034183979,44640.68034183979
land_size_type,42688.04692814173,42688.04692814173
no_public_space_floor_cnt,42280.02515554428,42280.02515554428
bath_cnt,39325.14369100332,-39325.14369100332
prop_carpark,38674.3567962666,38674.3567962666
study_home_office_cnt,37656.69245815277,-37656.69245815277
double_brick_wall,37345.35219405254,-37345.35219405254
construction_year_guess,36531.04030972719,36531.04030972719
has_wharf,34729.84870018333,-34729.84870018333
sector_code,34450.683217039536,34450.683217039536
updated_date,32375.878955990076,-32375.878955990076
near_park,31128.086384432798,-31128.086384432798
robe_plus_area,30809.876558065414,30809.876558065414
wir_cnt,29646.221190303564,-29646.221190303564
quietness,28647.87922073531,-28647.87922073531
lift_cnt,27374.16303291917,27374.16303291917
outdoor_dining_area,26410.445862352848,26410.445862352848
renovation_expansion,26338.023391106573,26338.023391106573
gym_area,25362.088716566563,-25362.088716566563
each_bedroom_area,25079.500172391534,25079.500172391534
locality_post,24578.36084566225,24578.36084566225
function_room_area,23851.590536236763,-23851.590536236763
gym_cnt,23389.985463798046,23389.985463798046
covered_dining_area,23150.786351531744,-23150.786351531744
ground_level_bedroom_cnt,22972.782461374998,22972.782461374998
natural_light,22552.259306810563,-22552.259306810563
development_opportunity,21795.151060819626,21795.151060819626
connected_garage_cnt,19433.146227180958,-19433.146227180958
no_public_space_floor_names,16140.524010717869,16140.524010717869
prop_x,15788.78198222231,-15788.78198222231
basement_area,15432.287391483784,15432.287391483784
key_advantages,15317.23976650089,-15317.23976650089
cul_de_sac,15199.805267644406,-15199.805267644406
biggest_living_space_area,14270.06874114275,-14270.06874114275
prop_type,13284.674280488864,-13284.674280488864
entertaining_space_cnt,13101.043363153934,13101.043363153934
famous_builder,12050.173477947712,12050.173477947712
biggest_entertainment_area,11760.742002665997,11760.742002665997
levels_cnt,11356.384764671326,11356.384764671326
weather_board,9898.439068317413,9898.439068317413
pantry_cnt,9781.709028482437,-9781.709028482437
view_type,9302.132860005848,9302.132860005848
prop_bed,9049.31240935385,9049.31240935385
stca_development_potential,8500.696256041527,8500.696256041527
lower_ground_bedroom_cnt,8058.6625299453735,-8058.6625299453735
living_space_cnt,7965.96869969368,7965.96869969368
high_ceiling,7759.195123434067,-7759.195123434067
kitchen_cnt,7540.936624288559,-7540.936624288559
location_summary,6682.012575395522,6682.012575395522
da_cdc_approval,6663.501092761755,6663.501092761755
prop_y,6485.775891958711,6485.775891958711
biggest_entertainment_name,6236.629375934601,6236.629375934601
outdoor_spa_cnt,6067.253444716334,-6067.253444716334
kitchen_area,5813.246649622917,-5813.246649622917
cabana_cnt,5342.241208076477,5342.241208076477
ensuite_cnt,4320.934056639671,4320.934056639671
corner_property,3596.515600539715,-3596.515600539715
luxury_level_images,3392.4558375775814,-3392.4558375775814
studio_cnt,3351.3017974346876,3351.3017974346876
famous_owner,3208.377034150064,-3208.377034150064
land_size,3088.394662443432,3088.394662443432
current_tenure_aux,2713.368228137493,2713.368228137493
indoor_spa_cnt,2637.334450483322,2637.334450483322
separate_garage_cnt,2471.6411769390106,2471.6411769390106
full_address_y,1692.9328867783238,-1692.9328867783238
prop_zoning,1522.423530896951,1522.423530896951
granny_flat_bedroom_cnt,1485.157167851925,1485.157167851925
workshop_cnt,1019.130020737648,1019.130020737648
narrow_bedroom_cnt,289.87480486929417,289.87480486929417
luxury_from_multimode,0.0,0.0
